,positive_reviews
0,"Location is great, short walk away Chinatown and Union Square. Pub on the ground floor. 24hr valet parking is available - location is a couple of blocks away but the car is collected from the hotel and brought back to you. Secure location. Mini bar provided in room."
1,"location more than made up for being outdated ...walking, trolley, and cable cars to many near by stores, shops, and attractions. The honor bar was semi reasonable in price and great variety....buuut ..there is a perfect little liquor store less then a minutes walk from the Hotel door."
2,Location
3,"Location was good in the Union square area, good local pub (not the one in the hotel) 100 yards away"
4,Location
5,Great location. We had our own bathroom. Staff very friendly and helpful. Able to store luggage for us until check-in. They stored our ski bags for us as well during our stay as we didn’t need them at this location.
6,Loved the stay great friendly an went above beyond to serve
7,location
8,"Very convenient location, walkable. Wine and beer in fridge very inexpensive. Good price for the area."
9,The antiquated feel.
10,The hotel is ok for that price.
11,The old style decor
12,The grand old hotel was perfectly old and clean . Check out the lighting in the hallways or the chairs in the lobby. Wonderful!!
13,The hotel is extremely centrally located and it's easy to get around. The staff was quite friendly - they offered free bottles of bubbles because we were there on New Years Eve. The bar on the ground floor was a nice touch - really styled like a British pub.
14,"The facility was not too bad really, room was comfortable and clean"
15,"Pleasantly surprised by this hotel. The location was fantastic. We walked to attractions most days ( be prepared for hills) three steep hills until you are on the downwards. The breakfast was basic but fine. Staff always willing to help and always greeted you. Room was larger than I was expecting and was clean . The room was cleaned every day. We only ate in the white horse ( pub attached to hotel where breakfast is served ) on the last day . Wished we ate there all week . Very good value and tasted really good only order one meal between two or even three. When I was asked about my holiday I have already recommended this hotel to anyone saying they would like to go to San Fransico"
16,"Location is great, couple of blocks from Union Sq. Hotel decor a bit dated but it was clean and quiet and comfortable. I would definitely stay again."
17,It would be nice to offer more fruit and maybe oatmeal packets.
18,"Worthy price for San francisco. 
Safe, good location, clean, kind staffs."
19,Location
20,"The location and cleanliness are great and the bed was comfortable.  The continental breakfast  met my expectations, with breads, cereal, fruit and juice."
21,"Great location!  Room had 2 beds which made it nice for me and my friend.  Continental breakfast provided.  Lots nearby to see and do, close to restaurants."
22,"Location, it was a good value; knowing how crazy expensive the hotels are in SF.
Water pressure, Surprisingly the shower had a good water pressure.
Well stocked fridge and very reasonably set pricing on those.
Mattress was quite comfortable."
23,Great value for money based on what we paid. Location exceptional. Staff was very friendly and helpful. Hotel was clean and looked after even though it's an old building.
24,"I liked the charm of this historical hotel, they had a fully stocked mini-fridge and charged you fairly if you took something out."
25,"Good location, close to the BART station, and priced reasonably. The hotel bar was quaint and stayed open late."
26,It’s a charming old hotel in an excellent location with helpful staff.
27,Everyone was very courteous.
28,"Great price for the location, convenient setting and helpful staff"
29,"Convenient location near Union Square in San Francisco, CA. Close to the shopping malls, Moscone Convention Center, and the Bay area. Public transportation is perfect in SF, can get you anywhere within minutes."
30,"The hotel is in a great location.  Central to everything.  The staff was friendly, warm, and helpful.I was traveling for work so the room was fine for me, I was only there to sleep.  Bathroom was dated but everything worked. Note - not all rooms have tubs, so if you want a tub, be sure to request it."
31,Location
32,"Within walking distance to many shops, malls, cafes & restaurants"
33,Liked the convenience to the city and the continental breakfast.
34,Classy antique decorations. Welcoming friendly staff. Very clean and great central location in downtown SF.
35,Good location
36,"The location of the Hotel Beresford is excellent. It is close to the Union Square, Maises, the tram and resturants.It is a short walk from the hotel to all of these facilities."
37,Very well located
38,"Excellent position, charming old Hotel (which comes with both pros and cons) that altoghether we quite liked. The price/quality ratio was very good for a central location in San Francisco."
39,"The location was excellent, room was good, comfortable.  Quaint hotel.  Great Bar - Jack the bartender was fantastic!We stayed for 3 nights, including Dec 31st 2019.  The hotel left party favours in our room for New Years Eve and balloons in the lobby; it was a nice added touch.Thank you."
40,"It was located well from where we needed to go , plenty of restaurants and bars"
41,Great location
42,Location and price. Comfortable beds
43,"Fortunately the room that we got there was a window facing the front Street and location was good,  price not that bad a great thing is the room bar for drinks and very very reasonable priced- domestic beer $2, and water $1.25!"
44,"The bed was very comfortable! Slept very well. The guy in the restaurant - the waiter, he was awesome! The place was warm and cozy and inviting."
45,"The location, only 5 minutes from union square"
46,Location was super convenient.  We walked to dinner and then to a show at the Golden Gate Theater.
47,Liked everything but check in. Was there 30 minutes early. Felt he was a little rude. Could not find my reservation said I gave him the wrong name. Not very helpful
48,The  food and drinks at the white horse bar
49,Just the location
50,"The place is in the middle of the city, 3 min walk to union square. The stuff very friendly. Check in and out fast and smoth. Good place to stay 1 or 2 nights in the heart of San Francisco."
51,"Good location, good value, large room"
52,"Very clean, friendly service, perfect location,"
53,The location. It's close to everything
54,"The hotel is a short walk to Union Square, restaurants, shops, cable car etc. so very handy.   The Valet was very efficient and helpful.  The breakfast, which is provided as part of the cost, was ok.  The pub meals were delicious, I particularly liked the cottage pie."
55,The staff were very friendly and helpful
56,Location was good.  Easy to get to Union Square and other attractions.
57,"We knew this was a budget hotel, so our expectations weren't high.  Breakfast was very plain, cereal, muffins and fruit sometimes (grapes and bananas mostly).  Rooms very small (we only had one suitcase, don't know where we would have put more).   This is a very old hotel and not earthquake safe (a plaque on the outside entrance wall tells you that!!).  However, location was good, short walk to Union Square and the tour buses etc.  Some of the staff were helpful, others not so much."
58,Location
59,Great bar and very nice staff!
60,Staff was great..helpful
61,Location and basic facilities WiFi
62,"LocationMeals in pub"
63,"Take no notice of these reviews of 'rude' and 'unfriendly' staff, totally subjective. The staff are totally fine and nice. 
The hotel is dated but for a cheaper option in a brilliant location, it's perfect. I was slightly nervous of coming here due to some reviews, but trust me, hotel Beresford is ideal based for your San Francisco adventures."
64,"The breakfast was plentiful. It was conveniently located to everything. After a long day of sightseeing, it was great having a good restaurant in the building. Most of the staff was friendly and helpful. I had pulled some muscles while walking the city and a desk person helped me put together an ice bag. The hotel reminded me more of a European hotel, small, cozy, clean and not glitzy."
65,Superb location
66,The breakfast was generally ok. The location was great and the beds very comfie
67,Great location. Loved the Pub. 😁
68,Breakfast was basic - location was fantastic - would stay again
69,"Location was great, very short walk to Union Square."
70,Windows open. Basic. Old style.
71,The room was lovely and clean
72,"Great location, better value for money than most other hotels, and it definitely gave an vintage San Francisco vibe!"
73,Location was great. Liked the White Horse atmosphere
74,Location great ! For union squate
75,Location
76,"Room was basic, but had everything we needed for a short break. Attached to a bar with good beer selection and Shuffleboard table. Breakfast was basic, but fine. Hotel is near centre of town."
77,location good
78,"Nice helpful staff, clean and comfy beds."
79,breakfast was ok for continental. location could not be beat.
80,Location. Comfortable. Nice shower.
81,Perfect location!
82,Comfy beds and quiet location.  Close to restaurants and transat.  Coffee was great at Hotel.
83,"The staff were very kind and attentive. Absolutely love the little pub downstairs, quite the gem. Bartenders were amazing and kind. Great food and drinks!!"
84,"Location
Bar and restaurant in the hotel"
85,"Inexpensive for San Francisco, VERY well located."
86,"The location was great,  and the White Horse served delicious food."
87,Location was fine
88,The bar
89,Location was great.  It is a heritage hotel so there were a few compromises but didn't detract from the overall experience.
90,"Charming, clean place. Comfortable bed. Great water pressure. Awesome location! Close parking deck (extra money, but we knew that ahead of time)."
91,Server In the bar Jeremiah was lovely
92,Good location and good pub
93,Close to transport. Evening meal good value for money and staff obliging
94,The location was really good and it was clean and staff were very helpful and friendly
95,Everything ...food..accommodation was fine
96,The room service was good. Clean towels everyday. Breakfast fairly good.
97,Nice hotel with very convenient connected restaurant. Staff was friendly and helpful and it was quiet. It's in a good part of town close to the rail lines.
98,Excellent locayand very friendly service
99,Location
100,"Location is excellent and very central. The hotel was clearly renovated recently, so the decor was fairly nice - except the bathroom, which was depressingly small and uncomfortable (hard to get the water to a normal temperature, either too hot or cold). Breakfast was OK, and located in a very cute British-style pub in the hotel. The street we were on felt pretty safe and well lit, although some of the surrounding streets felt a bit unsafe at night."
101,Location was great!
102,"Location 
Most staff very friendly 
Great bar and restaurant"
103,"Location is great, staff is supportive and welcoming!"
104,"Location, cleanliness"
105,Location
106,Breakfast was very basic. Room and bed very homely and comfortable. Great being able to open window and get fresh air.
107,"Fantastic location near Union Square and all the commercial area around, comfortable rooms, great shower"
108,The location was great as it was not far to walk to transport. The staff were polite and friendly
109,Location was convenient.
110,"Wonderful location at the top of San Francisco! Great views of the bay & city, loads of food options nearby & tons of character as it's an old location that has been very well taken care of! The White Horse, at street level, made for a wonderful end to our travels that night."
111,"Good Value, room was attractive"
112,Close to Union Sqare. Could get everywhere we wanted to go from there.
113,Value comfort and relatively quiet.  Very small rooms w bath that have what u need
114,"Central, clean, good breakfast and efficient staff"
115,"Ideal location, friendly staff. At the end of the day it was somewhere to sleep."
116,"Hotels is very close to the CBD, Restaurants and a quick drive to Fisherman’s Wharf."
117,Location
118,"Ideal location for exploring San Fran, very competitively priced, helpful and friendly staff with a great bar/restaurant attached."
119,Within walking distance (uphill) from Powell Street Bart station. Breakfast was good without being special.
120,Old fashion charm valet parking and location
121,Location
122,"location, friendliness of staff"
123,Small but comfortable and clean room. Great location.
124,Central location and lovely staff.
125,Close to public transportation and very clean hotel.
126,The first staff member to greet us was extremely helpful. He was informative and friendly. The following morning an older man was working the front desk who was unfriendly and rude. If he doesn’t like people he should change his occupation. He was impolite to the foreigners who were checking out in front of us as well.
127,Location was good
128,The best location.
129,"Loved location!! Close to everything: shops, tourist attractions and BART."
130,Good muffins
131,"Location was great. Short walk to Union square and the cable cart to Fisherman’s Warf. 
Airport transfers too/from the hotel ($19 each way) which was great value and very convenient. 
Appears good value compared to other places in the area."
132,"It's not all bad ! the room was ok size wise , a comfortable clean bed , a good shower. Location was ideal for cable cars & department stores, we walked to & from Pier 38  a couple of  times & was an ok walk @ 50 mins"
133,"Location, close to BART"
134,Convenient to union Square
135,"Great location, nice hotel"
136,"the location was great, staff was very helpful and pleasant. everything was good, we were pleasantly surprised of how helpful they were"
137,"The Room was very clean, fairly quiet with the windows closed, and the breakfast was decent and adequate. The bed Was comfortable and the location Was close to Mini, cable cars, and other places."
138,"Breakfast and other dining options were fabulous, great food.  Lovely personal bar where we lucky to meet some lovely people."
139,The location was good.
140,Location
141,Comfortable bed
142,White Horse Pub was super great bartender Ryan was friendly and made our time really fun.  Room was nice.  Location was fabulous.
143,The antique vibe of the hotel is a cool experience & rooms were clean.
144,Location
145,location
146,"Good central location, staff helpful & friendly, food in bar area good and generous. Amusing shuffle board game, friendly bar staff."
147,Bed was very comfy and room clean
148,Location is great! Easy to get places to eat and shop!
149,Breakfast included however very scant on one morning
150,The location was great and the staff was friendly.
151,"If you want somewhere near Union Square that includes breakfast for under USD200, this is a good option."
152,Location
153,Location was excellent
154,"Breakfast basic, could be improved with more choices. Location was very good with good restaurants nearby and bus services. Bed was very comfortable, hot water plenty, and wifi very good."
155,"The staff, the location, and the brand new bathtub."
156,Location is close to Union Square and public transport. Reasonably priced meals available from Whitehorse Restaurant next door. Basic continental breakfast is a real bonus.
157,Great location. Cute looking place with clean and comfortable facilities
158,The history of the property
159,Very comfortable beds
160,Location was great for walking and catching public transportation... The food and drinks at the White Horse was very good
161,Good location
162,Friendly helpful staff
163,Location
164,Quant . Location was great .. clean
165,Staff are super friendly especially the lady that checked us in.
166,Location
167,Great staff! Very accommodating and friendly.
168,Breakfast was good
169,"1. Location, cleanness"
170,"great location, reasonable price for San Francisco, continental breakfast is good, big selection, helpful, friendly staff, wifi fast"
171,Room was quirky and cute. Very Victorian. Friendly staff with option to hold bag before room was ready. Walking distance to fisherman’s wharf and Chinatown (about 20 mins) so I was very happy with the location.
172,The fact that it had a balcony and the Location! You can walk anywhere
173,"Great location, friendly, helpful staff."
174,"Quiet,  good location"
175,Minimal breakfast. Location ok
176,Clean & was convenient for our stay.
177,"Have stayed here previously, Concierge was a very welcoming and all staff were helpfulRooms are quaint, double bed small for us but we were aware of that"
178,"Nice quaint hotel, older but well maintained and comfortable. Very affordable for Union Square and valet parking!"
179,Very clean and friendly staff
180,"Great location, easy to walk everywhere. The staff was super friendly and helpful. A great base to explore san francisco from!"
181,"The oldest of the hotel, and bar.stay April 2019"
182,Room was very clean
183,Charming little hotel. Staff was good
184,Location was great
185,Easy to get to multiple attractions at a reasonable price.
186,Staff very friendly and helpful. Breakfast good and available by 7 so could get a bite before catching flight. Location is great!
187,Staff was helpful and the location was great.
188,The staff was extremely friendly and helpful. Rooms clean. The inside structure was visibly appealing.
189,"For an older hotel, the Beresford is surprisingly livable. Although the rooms are not large, they are sufficient for two folks with average amounts of gear. The bathroom is well-lit and there was plenty of hot water. Cleaner than I was expecting but it's nowhere near a higher quality place."
190,Great location.
191,The location is perfect. The staff is always friendly except the check in gal wasn’t as nice  as my last stay. Other staff were all very kind.
192,Free toiletries at desk in case you forget something.
193,"Location was great, staff friendly and polite"
194,"Excellent location, great hotel, and great value for money, definitely recommend this place, and would stay here again."
195,Cleanliness was good
196,The front staff gentleman was very rude. Jaime was a huge help for us when we arrived.
197,"This period hotel, just two blocks from Union Square,  is old worldy and well maintained. Staff are helpful and friendly. It is clean,  staff are nice and there is a bar and restaurant at the hotel.  Breakfast is great.  No hot food but good coffee,  juices,  fruit,  cereals and lovely pastries and muffins. Our room and bed were very comfortable with ample storage space. We loved every minute of our stay. Thank you Hotel Beresford :)"
198,Room neat and tidy.
199,"The room, the hotel and the location were perfect and well priced for San Fran."
200,The price was great given the location which was just off Union Square. Breakfast was sufficient - a bowl of cereal with a pastry and coffee is the most we would have at home. Rooms are small but comfortable.
201,Location
202,We liked the location. We walked everywhere. It was nice to come back to several restaurants and bars. The attached bar has a good happy hour too. The hotel leaves beverages in the room and they are reasonably priced.
203,"Quiet. Comfortable beds. Incredible water pressure in the shower.
Our room (bathroom) was next to the elevator which was a bit disconcerting when we first heard the rumble. But it wasn't a problem and we never heard sounds from other guests. 
The neighborhood was very quiet at night and we could have our window open.
We had a good dinner and a good breakfast at Sutter Pub just one block away."
204,Location was good
205,The biggest advantage of this hotel is its location.
206,We weren’t aware of the breakfast being provided by free.
207,"The location was great, and the room itself was small but comfortable and clean. I liked the quaintness. The young woman at the front desk was very friendly when I checked in."
208,"Location
Wifi
Cleanliness"
209,This is the first hotel where the lobby appeal was misleading to the room appeal.  Many of the older hotels in SF put a lot of investment in the lobby and the room leaves a lot to be desired.  This hotel was the opposite.
210,The location and natural light inside the hotel
211,I like the hotel location and the room.
212,"The staff were helpful and courteous. Some of the best customer service in the US. The hotel is seriously creepy however, which we thoroughly enjoyed but others may find of putting."
213,Great location and a comfortable bed. Nice cosy warm room if a little small.
214,"A great value for money, really close to Union Square and also a pleasn't stay."
215,Location was good for me to go to work in Chinatown. Price was reasonable.
216,Location  was good
217,"so.cold.for.the.room,"
218,Great location
219,Staff was friendly. Room was very clean.
220,"Near the Moscow center
Available easy abscess to down town and seaside"
221,"Staffs are very helpful, breakfast is good."
222,"Run down, but good location.  Generally pleasant staff.  Not particularly expansive continental breakfast, but sufficient.  Room was clean and cleaning happened fast.  The housekeeping staff was very pleasant to deal with.  Wifi worked well."
223,We were allowed to store our luggage in the hotel after checking out so we were able to explore the city
224,"It was in a good location near to restaurants.  The breakfast was much better than we had been led to believe - maybe they had upped their game but the was a good variety including fresh fruit, cereal, pastries, all in abundance.  OK there was nothing cooked like eggs or waffles but plenty of other things to choose.  The staff were all very friendly although one was a little brash but that's America.  The room was clean and there was a fridge in the room too."
225,"Near the city Nice vintage looking"
226,Location. Secured baggage room.
227,Very nice hotel with European ambiance.  Staff is friendly and helpful.  Was upgraded upon arrival.  Room was next to elevator which made a lot of noise.  Overall very good location and pleasant stay.
228,"Shabby old- fashioned, good value"
229,Restaurant food was very good and drink prices were reasonable.
230,"The location of this hotel is great for visitors to the city. The value considering prices for rooms in the city is good. But, it’s a basic hotel, nothing more. The rooms are small with older furniture that’s still in good shape. The bed was ok, pillows were awful. The bathroom was minimally appointed & you have to ask for a hairdryer from the front desk.My room was quiet and served the purpose. I would stay there again if I was only there to sleep."
231,Location is ideal
232,"hotel is in the city center, near to financial center, cable car, metro"
233,Great location and good value for SFO. A nice older hotel. No air conditioning so not for summer stays.
234,Good value for the price. Location was excellent. It's a great place to stay if you're gonna be out all day long. Not noisy even though it's on a busy avenue.
235,Location was good & our room was located far at the end so no noise
236,"it is a great central location. We were able to take the BART train from the airport and then just walked up to the hotel. (It is a good 15min walk, though, so  it could be hard for some people). The building is old, historical and the restaurant section decorated in that spirit. I found it charming compared to the newer, standard, all-the-same  hotels. No air conditioning, but it was not too hot during our visit so it was fine. Some traffic noise, but did not bother us."
237,Bed was comfortable and lobby was cute and welcoming.
238,croissants good.  bed comfy.
239,We checked in early which seemed not to be a problem. They also up graded us as we requested.
240,I liked the location and its ambiance.  It was near Union Square and other places that I've gone.  Staff were friendly.
241,"The ambiance, very friendly service, comfortable room"
242,"The location of this hotel is really good. Staff are friendly. Rooms are in traditional style. Someone may say old but they are clean and cozy. Also, simple breakfast is provided, not fancy but good to start a day."
243,clean linens and towels everyday
244,Great location. Breakfast was basic but good. Selection of coffee including decaf and milk too.
245,The jacuzzi bathtub
246,The room got good location. Comfortable and clean inside.
247,The position is perfect. Very closed to main streets. Nice place to stay.
248,Clean and quiet...
249,"Avarege hotel. Old style, carpet everywhere."
250,The building was historical with the White Horse pub. The location was gorgeous.
251,"the room, food was okay, we appreciated our surroundings"
252,I liked the old style of the hotel and the bed was comfy
253,Location
254,Location and price. Bed were comfortable. Room size was good. Towels were fresh and clean
255,The staff
256,"Elevator worked well,staff helpful, location good for exploring. ...."
257,The location.
258,Staff made me feel welcomed - like I just came home from the military or something.  They teated me as if they knew me and was very concerned to get me setteled in.  They were willing to change my room and never once appeared as if it was too much trouble.
259,"Positives about this property - location and price...by far the cheapest for the location. Breakfast although minimal (pastries, fruit, cereal and juice) was generous, fresh and actually all we really wanted - we give that a huge plus from us). Wifi was good and reliable too.The room was small but adequate for what we needed, the bathroom was small with a weird sliding door, but the shower was really powerful and hot, which was lovely. Bed comfortable and TV facilities good. We didn't need air con or heating, but could have done with a kettle (no drink making facilities) and a lot of hassle to try and 'borrow' a hairdryer, even though we had emailed prior to arriving about this - apparently the hotel was fully booked and we had to use it then bring it straight back...how much would if cost to supply a small one in the room?? Staff were hit and miss, not exactly 'customer friendly' and a little blunt at times, but not terrible either, but it wasn't worth worrying about as the hotel was just a 'base'. They even decorated the hotel for Halloween, which was cute.Overall, a good place for the money and location, no real complaints -I found it clean, easy to come in and out, and just fine for our needs - I would recommend and want to stay again."
260,Good value and clean.
261,Location. 5 mins from union but street is calm. 10 mins from powell station.
262,Breakfast
263,"Affordable hotel located in downtown San Francisco next to very expensive hotels. All kinds of cuisines and shopping  are available within 5 minutes walk. Around the corner, 2 minute walk, is the Active gym that has very nice gym facilities, and a 25 yard swimming pool! For only US$10.00 you can get a card from the hotel for a single visit. Continental breakfast is OK. Ferry building (shops, and a farmer's market once or twice a week), SF bayfront,  are about 20 minutes walk."
264,Location was good
265,"Very good location. *****Really clean. *****"
266,"The staff were efficient and friendly. The position was excellent, only about 3 blocks from Union Square, but far enough away for there not to be any noise. At first we thought that the price was expensive, but soon realised that it was a good price in a very expensive city. The staff at most of the top hotels were on strike, so we were fortunate. They arranged our ride back to the airport."
267,"Location was good, the hotel is in the center of the city."
268,"I loved the friendly and interactive staff. Nice people, great attitudes."
269,"Location. Staff were good.Towels, bathroom amenities good.Valet parking very good, but rather expenses."
270,good central location. Liked the attached pub.
271,"Central to everything. Free breakfast was good. Rooms were clean, but very small. It was fine for the price. Wouldn’t recommend if you’re planning on spending anytime in the room, if you’re out all day and just need a place to sleep then this place will suit you fine."
272,"+ nice location of the hotel, close to the famous trolley and Pier 39+ very nice and helpful staff+ big bed in the room (we got a queensize bed)+ antique feel of the hotel if you're into things like that+ close are shops and many services (like dry cleaners)+ nice continental breakfast in the morning (good coffee, something to eat)"
273,"Perfect location, easy checkin and out. When we asked for a non smoking room we were quickly accommodated.."
274,Location
275,Its good for short stay for just to sleep
276,The location was excellent.
277,Friendly staff. Comfortable bed. Good breakfast.
278,Great location. Hotel has character and staff friendly and bed comfy and room clean
279,Great location and very clean!
280,"Beds were comfortable and room was clean.Location was excellent.Elevator was fast.The place is quaint,with a little bar and restaurant.The continental breakfast was good."
281,Hotel was nice but a bit dated.
282,Extremely friendly staff.
283,Location is perfect in San Fco city to visit. It is clean and quite
284,"Clean, Friendly & Accommodating"
285,Good size room including private bathroom and small sitting area.  Location was very central
286,"I was there for Dreamforce and the hotel was fine.  Nothing sexy, just a very basic room but I have no complaints.  Got a good night sleep.  There is a fan that runs all night which didn't bother me to much but worth noting if you end up with a room close to it."
287,Friendly staff;  good ambience.
288,Staff friendly and location great.
289,"Nice building in a great location only a few minutes walk from the BART station for airport transport and from Union square. (note walk is uphill though). Airport shuttle service and luggage storage also offered.Price (unusually for San Francisco) included basic continental breakfast; cereals, mini muffins, fresh fruit, croissants, juice and hot drinks.Room was a decent size with two (single) comfy beds and additional small table and chairs. Also included a fridge.San Francisco is expensive generally but this room felt like comparatively good value for the location. Would stay again for 1-2 nights but not a longer stay unless bathrooms were upgraded."
290,"bed was good . Shower needs attention, dripping fuacet in bathroom. wasting water proby for a long time"
291,Better then I expected. Nice room and bathroom of a decent size and very clean. All staff were helpful and responsive to any of my requests. Great location and decent value for SFO. I would definitely stay here again.
292,Location was perfect for sigthseeing and shooping. Beds very comfortable.
293,"Bed was nice (but wasn't expecting to sleep in a twin),  TV, shower, iron all worked well. Staff was friendly. I think the regular rates would match the value of the hotel, but I stayed during Dreamforce so I paid probably triple the regular rates."
294,Liked the pub attached to the hotel and the location was good.
295,Well located
296,The location was the BEST. The staff was wonderful. the room was okay.
297,This hotel is very centrally located. The bedroom and bathroom are quite small. The shower is excellent. The bed is comfy. Rooms are clean. Staff are friendly. Would recommend
298,Comfortable bed
299,I liked the character of the place. Lovely classic furnishings and a gentle old fashioned feel.
300,"Good location, friendly staff and clean."
301,convenient
302,Close to everything
303,nice break fast  comfie bed
304,The hotel is in a great loacation and the house restaurant the White Horse was great.
305,"Although it was pretty much a basic continental breakfast, it as provided and free every day. The hotel is located near Union Square so we walked to the Cable car. The help was very pleasant."
306,The location is good for everything.
307,"It was perfect for a 2 night stay. I'm not a big fan of the area, but the hotel was a great value for price."
308,"I like the hotel Beresford Nice and comportabe,nice location friendly staffeverything is good."
309,Good hotel in good location
310,Very conveniently located to main attractions in the city. The hotel is very smartly adorned and very clean.
311,good central location in town
312,Good position and the little pub downstairs.
313,The location was perfect. Also like the valet option they had. Was 42$ per day but at least you don't have to worry about finding a parking.
314,Comfy bed
315,Location was perfect everything we would need was there
316,Friendly staff Very helpful
317,Prime location
318,This is a very old historic building in the heart of San Francisco - don't stay if you expect new chain amenities - but given the prices in San Francisco this is a good value and was extremely close to the event we were attending.  We found it to be a nice change of pace.
319,Good location
